flow : 
[id=0,sum=594,averageCost=6.239057239057239]
[id=91,sum=557,averageCost=6.583482944344704]
[id=40,sum=546,averageCost=5.597069597069597]
[id=94,sum=514,averageCost=6.017509727626459]
[id=41,sum=509,averageCost=5.777996070726916]
[id=42,sum=505,averageCost=4.6118811881188115]
[id=3,sum=498,averageCost=5.465863453815261]
[id=44,sum=469,averageCost=5.70362473347548]
[id=90,sum=466,averageCost=6.152360515021459]
[id=92,sum=455,averageCost=4.813186813186813]
[id=2,sum=445,averageCost=5.296629213483146]
[id=95,sum=436,averageCost=6.110091743119266]
[id=93,sum=430,averageCost=6.086046511627907]
[id=57,sum=415,averageCost=4.872289156626506]
[id=43,sum=408,averageCost=5.828431372549019]
[id=17,sum=366,averageCost=3.9153005464480874]
[id=150,sum=358,averageCost=4.941340782122905]
[id=73,sum=354,averageCost=3.2344632768361583]
[id=105,sum=354,averageCost=5.437853107344632]
[id=28,sum=352,averageCost=5.011363636363637]
[id=71,sum=352,averageCost=5.548295454545454]
[id=22,sum=349,averageCost=5.011461318051576]
[id=66,sum=309,averageCost=4.553398058252427]
[id=27,sum=303,averageCost=5.333333333333333]
[id=1,sum=296,averageCost=4.996621621621622]
[id=36,sum=293,averageCost=4.829351535836177]
[id=89,sum=293,averageCost=5.122866894197952]
[id=5,sum=292,averageCost=2.756849315068493]
[id=25,sum=292,averageCost=6.171232876712328]
[id=106,sum=290,averageCost=7.524137931034483]
[id=104,sum=286,averageCost=6.258741258741258]
[id=33,sum=283,averageCost=7.208480565371024]
[id=11,sum=282,averageCost=7.326241134751773]
[id=84,sum=272,averageCost=4.768382352941177]
[id=20,sum=270,averageCost=3.8851851851851853]
[id=139,sum=269,averageCost=5.936802973977695]
[id=126,sum=268,averageCost=5.123134328358209]
[id=137,sum=266,averageCost=6.917293233082707]
[id=115,sum=264,averageCost=5.65530303030303]
[id=26,sum=257,averageCost=5.01556420233463]
[id=77,sum=256,averageCost=3.9296875]
[id=60,sum=253,averageCost=7.1936758893280635]
[id=56,sum=252,averageCost=6.785714285714286]
[id=34,sum=243,averageCost=6.728395061728395]
[id=130,sum=243,averageCost=6.271604938271605]
[id=35,sum=239,averageCost=4.933054393305439]
[id=109,sum=239,averageCost=5.393305439330544]
[id=149,sum=238,averageCost=4.542016806722689]
[id=49,sum=229,averageCost=4.676855895196507]
[id=136,sum=227,averageCost=4.572687224669603]
[id=7,sum=221,averageCost=3.1447963800904977]
[id=151,sum=219,averageCost=6.525114155251141]
[id=135,sum=217,averageCost=3.7557603686635943]
[id=6,sum=214,averageCost=7.920560747663552]
[id=24,sum=214,averageCost=4.509345794392523]
[id=128,sum=213,averageCost=5.671361502347418]
[id=16,sum=209,averageCost=4.2009569377990434]
[id=146,sum=209,averageCost=6.229665071770335]
[id=39,sum=208,averageCost=6.216346153846154]
[id=103,sum=208,averageCost=6.889423076923077]
[id=118,sum=208,averageCost=5.211538461538462]
[id=18,sum=203,averageCost=5.645320197044335]
[id=55,sum=198,averageCost=4.540404040404041]
[id=14,sum=194,averageCost=5.556701030927835]
[id=38,sum=194,averageCost=5.994845360824742]
[id=82,sum=193,averageCost=6.580310880829016]
[id=72,sum=191,averageCost=4.607329842931938]
[id=81,sum=190,averageCost=6.08421052631579]
[id=107,sum=189,averageCost=6.35978835978836]
[id=12,sum=188,averageCost=5.122340425531915]
[id=85,sum=186,averageCost=5.123655913978495]
[id=113,sum=186,averageCost=8.774193548387096]
[id=132,sum=186,averageCost=7.32258064516129]
[id=153,sum=186,averageCost=6.295698924731183]
[id=63,sum=183,averageCost=3.4754098360655736]
[id=83,sum=183,averageCost=5.0]
[id=100,sum=176,averageCost=5.204545454545454]
[id=122,sum=176,averageCost=4.642045454545454]
[id=48,sum=175,averageCost=6.228571428571429]
[id=68,sum=174,averageCost=6.459770114942529]
[id=101,sum=173,averageCost=6.086705202312139]
[id=147,sum=172,averageCost=4.819767441860465]
[id=138,sum=171,averageCost=6.426900584795321]
[id=9,sum=169,averageCost=4.183431952662722]
[id=47,sum=167,averageCost=5.838323353293413]
[id=112,sum=167,averageCost=5.119760479041916]
[id=123,sum=167,averageCost=7.299401197604791]
[id=129,sum=166,averageCost=7.114457831325301]
[id=140,sum=166,averageCost=4.024096385542169]
[id=23,sum=165,averageCost=4.7696969696969695]
[id=125,sum=164,averageCost=6.060975609756097]
[id=114,sum=161,averageCost=6.229813664596273]
[id=97,sum=157,averageCost=6.828025477707007]
[id=154,sum=155,averageCost=4.2709677419354835]
[id=46,sum=154,averageCost=5.318181818181818]
[id=54,sum=154,averageCost=6.058441558441558]
[id=141,sum=154,averageCost=8.38961038961039]
[id=62,sum=151,averageCost=5.8344370860927155]
[id=32,sum=148,averageCost=5.54054054054054]
[id=156,sum=148,averageCost=7.121621621621622]
[id=74,sum=147,averageCost=3.9047619047619047]
[id=75,sum=145,averageCost=6.406896551724138]
[id=37,sum=144,averageCost=5.0]
[id=155,sum=143,averageCost=7.531468531468532]
[id=13,sum=142,averageCost=6.133802816901408]
[id=79,sum=135,averageCost=4.7555555555555555]
[id=30,sum=134,averageCost=4.037313432835821]
[id=76,sum=134,averageCost=5.559701492537314]
[id=53,sum=133,averageCost=4.7669172932330826]
[id=133,sum=133,averageCost=4.203007518796992]
[id=21,sum=132,averageCost=4.4772727272727275]
[id=119,sum=131,averageCost=5.0534351145038165]
[id=148,sum=129,averageCost=4.441860465116279]
[id=145,sum=127,averageCost=6.535433070866142]
[id=69,sum=126,averageCost=6.198412698412699]
[id=102,sum=123,averageCost=7.853658536585366]
[id=87,sum=118,averageCost=5.1525423728813555]
[id=59,sum=117,averageCost=4.435897435897436]
[id=61,sum=117,averageCost=2.7094017094017095]
[id=108,sum=117,averageCost=7.367521367521367]
[id=142,sum=117,averageCost=6.615384615384615]
[id=4,sum=115,averageCost=6.817391304347826]
[id=52,sum=114,averageCost=6.105263157894737]
[id=67,sum=112,averageCost=8.133928571428571]
[id=70,sum=112,averageCost=5.366071428571429]
[id=120,sum=111,averageCost=4.8558558558558556]
[id=159,sum=110,averageCost=5.290909090909091]
[id=131,sum=109,averageCost=7.4495412844036695]
[id=8,sum=107,averageCost=6.327102803738318]
[id=99,sum=102,averageCost=7.627450980392157]
[id=96,sum=101,averageCost=8.534653465346535]
[id=134,sum=99,averageCost=6.03030303030303]
[id=111,sum=93,averageCost=4.806451612903226]
[id=31,sum=92,averageCost=4.086956521739131]
[id=152,sum=91,averageCost=7.428571428571429]
[id=121,sum=82,averageCost=1.5853658536585367]
[id=144,sum=79,averageCost=6.746835443037975]
[id=143,sum=77,averageCost=6.701298701298701]
[id=19,sum=76,averageCost=4.0]
[id=58,sum=76,averageCost=7.052631578947368]
[id=15,sum=73,averageCost=4.739726027397261]
[id=157,sum=72,averageCost=5.972222222222222]
[id=50,sum=71,averageCost=2.5211267605633805]
[id=64,sum=70,averageCost=2.3714285714285714]
[id=158,sum=70,averageCost=3.3142857142857145]
[id=88,sum=69,averageCost=8.768115942028986]
[id=51,sum=68,averageCost=8.676470588235293]
[id=78,sum=64,averageCost=6.9375]
[id=65,sum=63,averageCost=8.73015873015873]
[id=80,sum=62,averageCost=3.6451612903225805]
[id=45,sum=56,averageCost=8.0]
[id=117,sum=55,averageCost=6.7272727272727275]
[id=127,sum=49,averageCost=4.530612244897959]
[id=110,sum=48,averageCost=8.875]
[id=10,sum=37,averageCost=5.513513513513513]
[id=98,sum=34,averageCost=3.823529411764706]
[id=86,sum=31,averageCost=4.0]
[id=124,sum=28,averageCost=6.428571428571429]
[id=29,sum=26,averageCost=2.5384615384615383]
[id=116,sum=24,averageCost=7.875]
------------------------------------------------------
average cost : 
numOfVertice:160
numOfEdges:620
numOfConsumers:72
minCost:1073741823
numOfMinSources:0
minSource:
coreTime:23 ms
